   Rabbits and foxes. Lotka-Volterra model 
      Method: Runge-Kutta 4th order     
     t           x           y
   0.000E+00   1.000E+02   1.500E+01
   2.000E-01   1.404E+02   1.558E+01
   4.000E-01   1.960E+02   1.781E+01
   6.000E-01   2.698E+02   2.317E+01
   8.000E-01   3.592E+02   3.552E+01
   1.000E+00   4.421E+02   6.512E+01
   1.200E+00   4.515E+02   1.328E+02
   1.400E+00   3.210E+02   2.401E+02
   1.600E+00   1.542E+02   3.137E+02
   1.800E+00   6.460E+01   3.152E+02
   2.000E+00   2.919E+01   2.816E+02
   2.200E+00   1.534E+01   2.406E+02
   2.400E+00   9.462E+00   2.017E+02
   2.600E+00   6.752E+00   1.678E+02
   2.800E+00   5.462E+00   1.391E+02
   3.000E+00   4.909E+00   1.150E+02
   3.200E+00   4.816E+00   9.509E+01
   3.400E+00   5.082E+00   7.862E+01
   3.600E+00   5.693E+00   6.506E+01
   3.800E+00   6.699E+00   5.393E+01
   4.000E+00   8.207E+00   4.481E+01
   4.200E+00   1.039E+01   3.737E+01
   4.400E+00   1.352E+01   3.133E+01
   4.600E+00   1.797E+01   2.647E+01
   4.800E+00   2.431E+01   2.260E+01
   5.000E+00   3.335E+01   1.959E+01
   5.200E+00   4.621E+01   1.735E+01
   5.400E+00   6.453E+01   1.585E+01
   5.600E+00   9.050E+01   1.513E+01
   5.800E+00   1.271E+02   1.537E+01
   6.000E+00   1.778E+02   1.703E+01
   6.200E+00   2.460E+02   2.123E+01
   6.400E+00   3.315E+02   3.089E+01
   6.600E+00   4.204E+02   5.375E+01
   6.800E+00   4.608E+02   1.078E+02
   7.000E+00   3.706E+02   2.074E+02
   7.200E+00   1.967E+02   2.994E+02
   7.400E+00   8.351E+01   3.195E+02
   7.600E+00   3.653E+01   2.925E+02
   7.800E+00   1.834E+01   2.522E+02
   8.000E+00   1.082E+01   2.124E+02
   8.200E+00   7.420E+00   1.770E+02
   8.400E+00   5.802E+00   1.468E+02
   8.600E+00   5.068E+00   1.215E+02
   8.800E+00   4.856E+00   1.005E+02
   9.000E+00   5.024E+00   8.308E+01
   9.200E+00   5.537E+00   6.874E+01
   9.400E+00   6.429E+00   5.695E+01
   9.600E+00   7.791E+00   4.729E+01
   9.800E+00   9.778E+00   3.940E+01
   1.000E+01   1.263E+01   3.298E+01
