   Projectile motion in the (x,y) plane 
      Method: Runge-Kutta 4th order     
     t           x           y           dx/dt       dy/dt
   0.000E+00   0.000E+00   0.000E+00   7.071E+01   7.071E+01
   2.000E-01   1.414E+01   1.395E+01   7.071E+01   6.875E+01
   4.000E-01   2.828E+01   2.750E+01   7.071E+01   6.679E+01
   6.000E-01   4.243E+01   4.066E+01   7.071E+01   6.482E+01
   8.000E-01   5.657E+01   5.343E+01   7.071E+01   6.286E+01
   1.000E+00   7.071E+01   6.581E+01   7.071E+01   6.090E+01
   1.200E+00   8.485E+01   7.779E+01   7.071E+01   5.894E+01
   1.400E+00   9.899E+01   8.938E+01   7.071E+01   5.698E+01
   1.600E+00   1.131E+02   1.006E+02   7.071E+01   5.501E+01
   1.800E+00   1.273E+02   1.114E+02   7.071E+01   5.305E+01
   2.000E+00   1.414E+02   1.218E+02   7.071E+01   5.109E+01
   2.200E+00   1.556E+02   1.318E+02   7.071E+01   4.913E+01
   2.400E+00   1.697E+02   1.415E+02   7.071E+01   4.717E+01
   2.600E+00   1.838E+02   1.507E+02   7.071E+01   4.520E+01
   2.800E+00   1.980E+02   1.595E+02   7.071E+01   4.324E+01
   3.000E+00   2.121E+02   1.680E+02   7.071E+01   4.128E+01
   3.200E+00   2.263E+02   1.760E+02   7.071E+01   3.932E+01
   3.400E+00   2.404E+02   1.837E+02   7.071E+01   3.736E+01
   3.600E+00   2.546E+02   1.910E+02   7.071E+01   3.539E+01
   3.800E+00   2.687E+02   1.979E+02   7.071E+01   3.343E+01
   4.000E+00   2.828E+02   2.044E+02   7.071E+01   3.147E+01
   4.200E+00   2.970E+02   2.105E+02   7.071E+01   2.951E+01
   4.400E+00   3.111E+02   2.162E+02   7.071E+01   2.755E+01
   4.600E+00   3.253E+02   2.215E+02   7.071E+01   2.558E+01
   4.800E+00   3.394E+02   2.264E+02   7.071E+01   2.362E+01
   5.000E+00   3.536E+02   2.309E+02   7.071E+01   2.166E+01
   5.200E+00   3.677E+02   2.351E+02   7.071E+01   1.970E+01
   5.400E+00   3.818E+02   2.388E+02   7.071E+01   1.774E+01
   5.600E+00   3.960E+02   2.422E+02   7.071E+01   1.577E+01
   5.800E+00   4.101E+02   2.451E+02   7.071E+01   1.381E+01
   6.000E+00   4.243E+02   2.477E+02   7.071E+01   1.185E+01
   6.200E+00   4.384E+02   2.499E+02   7.071E+01   9.889E+00
   6.400E+00   4.525E+02   2.516E+02   7.071E+01   7.927E+00
   6.600E+00   4.667E+02   2.530E+02   7.071E+01   5.965E+00
   6.800E+00   4.808E+02   2.540E+02   7.071E+01   4.003E+00
   7.000E+00   4.950E+02   2.546E+02   7.071E+01   2.041E+00
   7.200E+00   5.091E+02   2.548E+02   7.071E+01   7.867E-02
   7.400E+00   5.233E+02   2.547E+02   7.071E+01  -1.883E+00
   7.600E+00   5.374E+02   2.541E+02   7.071E+01  -3.845E+00
   7.800E+00   5.515E+02   2.531E+02   7.071E+01  -5.807E+00
   8.000E+00   5.657E+02   2.518E+02   7.071E+01  -7.769E+00
   8.200E+00   5.798E+02   2.500E+02   7.071E+01  -9.731E+00
   8.400E+00   5.940E+02   2.479E+02   7.071E+01  -1.169E+01
   8.600E+00   6.081E+02   2.453E+02   7.071E+01  -1.366E+01
   8.800E+00   6.223E+02   2.424E+02   7.071E+01  -1.562E+01
   9.000E+00   6.364E+02   2.391E+02   7.071E+01  -1.758E+01
   9.200E+00   6.505E+02   2.354E+02   7.071E+01  -1.954E+01
   9.400E+00   6.647E+02   2.313E+02   7.071E+01  -2.150E+01
   9.600E+00   6.788E+02   2.268E+02   7.071E+01  -2.347E+01
   9.800E+00   6.930E+02   2.219E+02   7.071E+01  -2.543E+01
   1.000E+01   7.071E+02   2.166E+02   7.071E+01  -2.739E+01
   1.020E+01   7.212E+02   2.109E+02   7.071E+01  -2.935E+01
   1.040E+01   7.354E+02   2.049E+02   7.071E+01  -3.131E+01
   1.060E+01   7.495E+02   1.984E+02   7.071E+01  -3.328E+01
   1.080E+01   7.637E+02   1.916E+02   7.071E+01  -3.524E+01
   1.100E+01   7.778E+02   1.843E+02   7.071E+01  -3.720E+01
   1.120E+01   7.920E+02   1.767E+02   7.071E+01  -3.916E+01
   1.140E+01   8.061E+02   1.686E+02   7.071E+01  -4.112E+01
   1.160E+01   8.202E+02   1.602E+02   7.071E+01  -4.309E+01
   1.180E+01   8.344E+02   1.514E+02   7.071E+01  -4.505E+01
   1.200E+01   8.485E+02   1.422E+02   7.071E+01  -4.701E+01
   1.220E+01   8.627E+02   1.326E+02   7.071E+01  -4.897E+01
   1.240E+01   8.768E+02   1.226E+02   7.071E+01  -5.093E+01
   1.260E+01   8.910E+02   1.122E+02   7.071E+01  -5.290E+01
   1.280E+01   9.051E+02   1.015E+02   7.071E+01  -5.486E+01
   1.300E+01   9.192E+02   9.029E+01   7.071E+01  -5.682E+01
   1.320E+01   9.334E+02   7.873E+01   7.071E+01  -5.878E+01
   1.340E+01   9.475E+02   6.678E+01   7.071E+01  -6.074E+01
   1.360E+01   9.617E+02   5.444E+01   7.071E+01  -6.271E+01
   1.380E+01   9.758E+02   4.170E+01   7.071E+01  -6.467E+01
   1.400E+01   9.899E+02   2.857E+01   7.071E+01  -6.663E+01
   1.420E+01   1.004E+03   1.505E+01   7.071E+01  -6.859E+01
   1.440E+01   1.018E+03   1.133E+00   7.071E+01  -7.055E+01
   1.460E+01   1.032E+03  -1.317E+01   7.071E+01  -7.252E+01
