K-     -0.540  -9.814  -2.019
P+      0.938   6.089   0.602
PI+     0.748   4.615   0.675
PI+     0.469  -0.585   0.698
PI-     0.141   0.068  -0.094
K-      0.202   0.144   0.003
PI+     0.622  -0.179  -1.656
E-     -1.480   0.797  -5.601
PI-    -0.105  -0.218   0.328
PI+     0.634  -2.034   1.053
PI+     0.044   0.115  -0.153
K-      0.264   0.335  -0.352
K+      0.189   0.830  -0.689
PI+    -0.132  -0.409   0.150
PI-    -0.601  -1.358   1.177
P-      0.140   0.420  -0.343
MU-    -4.092  -8.720   6.976
PI+    -0.189  -0.124  -0.227
PI-     0.286   0.365   0.034
PI+    -0.186  -0.296   0.321
K-     -2.770  -3.741   3.706
PI+    -0.413  -0.395   0.778
K-      1.393   1.467  -1.179
K+      0.769   1.944  -1.640
