  ======== Tabela de conversao de moedas ======== 
 -------------------------------------------------
         Real     |      Dollar     |        Euro
 -------------------------------------------------
        1.000     |       0.418     |       0.330
        2.000     |       0.835     |       0.661
        3.000     |       1.253     |       0.991
        4.000     |       1.671     |       1.322
        5.000     |       2.088     |       1.652
        6.000     |       2.506     |       1.983
        7.000     |       2.924     |       2.313
        8.000     |       3.341     |       2.643
        9.000     |       3.759     |       2.974
       10.000     |       4.177     |       3.304
