 temperatura,  media,  variancia,  variancia2,  desv_padrao,  desv_padrao_da_media
 ==============================
   24.0687943       13.4011612       10.6676331       113.798393       5.27475786       1.07670546    
   22.7179146       13.4011612       9.31675339       86.8018951       5.27475786       1.07670546    
   21.4428558       13.4011612       8.04169464       64.6688538       5.27475786       1.07670546    
   20.2393589       13.4011612       6.83819771       46.7609482       5.27475786       1.07670546    
   19.1034107       13.4011612       5.70224953       32.5156479       5.27475786       1.07670546    
   18.0312176       13.4011612       4.63005638       21.4374218       5.27475786       1.07670546    
   17.0192032       13.4011612       3.61804199       13.0902281       5.27475786       1.07670546    
   16.0639858       13.4011612       2.66282463       7.09063482       5.27475786       1.07670546    
   15.1623831       13.4011612       1.76122189       3.10190248       5.27475786       1.07670546    
   14.3113832       13.4011612      0.910222054      0.828504205       5.27475786       1.07670546    
   13.5081463       13.4011612      0.106985092       1.14458101E-02   5.27475786       1.07670546    
   12.7499924       13.4011612     -0.651168823      0.424020827       5.27475786       1.07670546    
   12.0343885       13.4011612      -1.36677265       1.86806750       5.27475786       1.07670546    
   11.3589506       13.4011612      -2.04221058       4.17062426       5.27475786       1.07670546    
   10.7214212       13.4011612      -2.67973995       7.18100643       5.27475786       1.07670546    
   10.1196728       13.4011612      -3.28148842       10.7681665       5.27475786       1.07670546    
   9.55169868       13.4011612      -3.84946251       14.8183613       5.27475786       1.07670546    
   9.01560211       13.4011612      -4.38555908       19.2331276       5.27475786       1.07670546    
   8.50959492       13.4011612      -4.89156628       23.9274216       5.27475786       1.07670546    
   8.03198814       13.4011612      -5.36917305       28.8280201       5.27475786       1.07670546    
   7.58118677       13.4011612      -5.81997442       33.8721008       5.27475786       1.07670546    
   7.15568686       13.4011612      -6.24547434       39.0059509       5.27475786       1.07670546    
   6.75406933       13.4011612      -6.64709187       44.1838303       5.27475786       1.07670546    
   6.37499142       13.4011612      -7.02616978       49.3670616       5.27475786       1.07670546    
